brand,processor_brand,processor,processor_gnrtn,ram,ssd,hdd,os,os_bit,graphic_card_gb,warranty,msoffice,Price,rating,Number of Ratings,Number of Reviews
DELL,Intel,Core i3,10th,4 GB,256 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,41390,4 stars,56,7
DELL,Intel,Core i3,10th,4 GB,256 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,44290,3 stars,0,0
DELL,Intel,Core i3,11th,4 GB,256 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,48999,3 stars,0,0
DELL,Intel,Core i3,11th,4 GB,256 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,39990,3 stars,170,11
DELL,Intel,Core i3,10th,8 GB,256 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,46390,2 stars,95,5
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,No warranty,No,18990,3 stars,197,25
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,17990,3 stars,1180,148
HP,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,No warranty,No,26470,3 stars,232,23
HP,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,No warranty,No,27990,3 stars,596,65
Lenovo,Intel,Celeron Dual,Not Available,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,29999,3 stars,19,1
Lenovo,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,No warranty,No,25990,3 stars,84,16
Lenovo,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,16990,3 stars,414,54
Lenovo,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,24990,2 stars,70,16
acer,Intel,Core i5,Not Available,8 GB,0 GB,512 GB,Windows,32-bit,4 GB,No warranty,No,50990,4 stars,10966,1185
acer,Intel,Core i5,Not Available,8 GB,0 GB,512 GB,Windows,32-bit,0 GB,1 year,No,119990,4 stars,1,1
acer,Intel,Core i5,10th,8 GB,0 GB,512 GB,DOS,32-bit,0 GB,No warranty,No,94190,4 stars,31,6
ASUS,Intel,Core i5,10th,8 GB,0 GB,512 GB,DOS,32-bit,4 GB,No warranty,No,106167,4 stars,1881,241
DELL,Intel,Core i5,10th,8 GB,0 GB,512 GB,DOS,32-bit,4 GB,1 year,No,68090,1 star,23,4
DELL,Intel,Core i5,10th,8 GB,0 GB,512 GB,DOS,32-bit,0 GB,1 year,No,139990,3 stars,0,0
HP,Intel,Core i5,10th,8 GB,0 GB,512 GB,DOS,32-bit,0 GB,No warranty,No,55990,4 stars,818,109
HP,Intel,Core i5,10th,8 GB,0 GB,512 GB,DOS,32-bit,4 GB,No warranty,No,102551,3 stars,0,0
Lenovo,Intel,Core i5,10th,8 GB,0 GB,512 GB,DOS,32-bit,2 GB,No warranty,No,46990,4 stars,4428,569
HP,Intel,Core i5,8th,8 GB,128 GB,0 GB,Windows,64-bit,0 GB,1 year,No,76012,4 stars,129,16
Lenovo,Intel,Core i5,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,2 years,Yes,49490,4 stars,365,35
acer,Intel,Core i5,7th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,86867,4 stars,39,3
ASUS,Intel,Core i5,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,48990,3 stars,0,0
DELL,Intel,Core i5,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,55990,3 stars,3,0
acer,Intel,Core i5,8th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,81998,4 stars,14,3
HP,Intel,Core i5,8th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,136590,3 stars,0,0
acer,Intel,Core i5,8th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,59490,3 stars,33,7
ASUS,Intel,Core i5,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,49800,3 stars,0,0
Lenovo,Intel,Core i5,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,61999,2 stars,4,0
HP,Intel,Core i5,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,54990,4 stars,116,15
HP,Intel,Core i5,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,53990,4 stars,206,17
Lenovo,Intel,Core i5,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,2 years,Yes,52990,4 stars,300,24
HP,Intel,Core i5,11th,16 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,67990,4 stars,108,6
ASUS,Intel,Core i5,10th,8 GB,512 GB,0 GB,Windows,64-bit,4 GB,1 year,No,57990,4 stars,3712,412
Lenovo,Intel,Core i5,11th,16 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,62300,4 stars,825,95
Lenovo,Intel,Core i5,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,52990,3 stars,0,0
Lenovo,Intel,Core i5,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,2 years,Yes,51990,4 stars,85,4
